Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Customer_ID,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Region
PT003,Term,Term life insurance policy,11001,Term Policy 11001,497,5000,Monthly,2011-05-23,2012-05-22,2011-12-09,2011-11-09,400000,2703.23,NORTH
PT002,WholeLife,Whole life insurance policy,11002,WholeLife Policy 11002,498,15000,Quarterly,2011-06-22,2013-06-21,2011-10-14,2011-09-14,1000000,12707.42,WEST
PT003,Term,Term life insurance policy,11003,Term Policy 11003,499,7500,Monthly,2008-03-01,2009-03-01,2009-07-03,2009-06-03,600000,4170.67,WEST
PT002,WholeLife,Whole life insurance policy,11004,WholeLife Policy 11004,499,5000,Annual,2005-08-13,2010-08-12,2006-07-14,2006-06-14,600000,3796.47,WEST
PT001,Auto,Auto insurance policy,11005,Auto Policy 11005,499,10000,Monthly,2015-12-15,2016-12-14,2016-07-06,2016-06-06,300000,8592.64,WEST
PT004,Health,Health insurance policy,11006,Health Policy 11006,500,7500,Annual,2014-12-24,2019-12-23,2015-10-12,2015-09-12,1000000,3048.44,EAST
PT001,Auto,Auto insurance policy,11007,Auto Policy 11007,500,12500,Monthly,2020-11-04,2021-11-04,2021-09-12,2021-08-13,500000,4801.74,EAST
PT002,WholeLife,Whole life insurance policy,11008,WholeLife Policy 11008,500,20000,Annual,2011-04-01,2016-03-30,2011-11-28,2011-10-29,200000,15250.98,EAST
PT002,WholeLife,Whole life insurance policy,11009,WholeLife Policy 11009,501,7500,Quarterly,2006-09-02,2008-09-01,2007-04-21,2007-03-22,600000,2949.57,SOUTH
PT005,Home,Home insurance policy,11010,Home Policy 11010,501,20000,Monthly,2020-01-28,2021-01-27,2020-09-05,2020-08-06,800000,16491.82,SOUTH
PT001,Auto,Auto insurance policy,11011,Auto Policy 11011,501,20000,Monthly,2014-09-21,2015-09-21,2015-08-13,2015-07-14,1000000,8445.38,SOUTH
PT001,Auto,Auto insurance policy,11012,Auto Policy 11012,502,5000,Annual,2019-03-26,2024-03-24,2019-08-03,2019-07-04,300000,3052.2,SOUTH
PT002,WholeLife,Whole life insurance policy,11013,WholeLife Policy 11013,502,10000,Monthly,2020-02-08,2021-02-07,2020-06-24,2020-05-25,500000,5391.55,SOUTH
PT002,WholeLife,Whole life insurance policy,11014,WholeLife Policy 11014,502,7500,Quarterly,2016-02-22,2018-02-21,2017-03-13,2017-02-11,300000,6098.29,SOUTH
PT002,WholeLife,Whole life insurance policy,11015,WholeLife Policy 11015,503,5000,Quarterly,2005-01-27,2007-01-27,2006-01-07,2005-12-08,500000,3139.26,EAST
PT002,WholeLife,Whole life insurance policy,11016,WholeLife Policy 11016,503,20000,Quarterly,2005-11-14,2007-11-14,2006-11-23,2006-10-24,400000,9324.06,EAST
PT005,Home,Home insurance policy,11017,Home Policy 11017,503,10000,Annual,2010-04-07,2015-04-06,2011-03-04,2011-02-02,500000,6598.59,EAST
PT003,Term,Term life insurance policy,11018,Term Policy 11018,504,20000,Quarterly,2010-03-15,2012-03-14,2011-01-19,2010-12-20,500000,15154.45,SOUTH
PT005,Home,Home insurance policy,11019,Home Policy 11019,505,12500,Annual,2013-01-04,2018-01-03,2013-04-23,2013-03-24,400000,4415.64,EAST
PT003,Term,Term life insurance policy,11020,Term Policy 11020,505,10000,Quarterly,2014-05-31,2016-05-30,2015-07-04,2015-06-04,300000,4974.06,EAST
PT004,Health,Health insurance policy,11021,Health Policy 11021,506,5000,Annual,2012-02-26,2017-02-24,2013-04-17,2013-03-18,400000,2393.31,SOUTH
PT004,Health,Health insurance policy,11022,Health Policy 11022,507,12500,Annual,2015-12-22,2020-12-20,2016-06-19,2016-05-20,800000,2753.42,EAST
PT005,Home,Home insurance policy,11023,Home Policy 11023,508,5000,Quarterly,2009-10-29,2011-10-29,2011-01-27,2010-12-28,600000,2131.17,NORTH
PT003,Term,Term life insurance policy,11024,Term Policy 11024,508,25000,Quarterly,2014-03-23,2016-03-22,2014-12-25,2014-11-25,500000,11976.89,NORTH
PT003,Term,Term life insurance policy,11025,Term Policy 11025,509,7500,Annual,2015-11-22,2020-11-20,2016-12-11,2016-11-11,400000,5797.25,EAST
PT004,Health,Health insurance policy,11026,Health Policy 11026,510,15000,Monthly,2014-03-12,2015-03-12,2015-02-09,2015-01-10,300000,5165.11,WEST
PT001,Auto,Auto insurance policy,11027,Auto Policy 11027,510,10000,Annual,2018-10-04,2023-10-03,2019-10-08,2019-09-08,300000,5778.37,WEST
PT001,Auto,Auto insurance policy,11028,Auto Policy 11028,511,25000,Monthly,2013-07-04,2014-07-04,2014-02-19,2014-01-20,800000,20964.0,EAST
PT005,Home,Home insurance policy,11029,Home Policy 11029,511,5000,Annual,2006-06-04,2011-06-03,2006-11-18,2006-10-19,600000,2267.34,EAST
PT002,WholeLife,Whole life insurance policy,11030,WholeLife Policy 11030,511,12500,Annual,2008-07-10,2013-07-09,2009-09-10,2009-08-11,1000000,4506.68,EAST
PT003,Term,Term life insurance policy,11031,Term Policy 11031,512,7500,Quarterly,2012-06-08,2014-06-08,2013-08-17,2013-07-18,600000,2805.69,NORTH
PT001,Auto,Auto insurance policy,11032,Auto Policy 11032,513,5000,Annual,2005-06-14,2010-06-13,2006-03-04,2006-02-02,600000,3769.7,WEST
PT002,WholeLife,Whole life insurance policy,11033,WholeLife Policy 11033,514,5000,Quarterly,2011-05-09,2013-05-08,2012-05-26,2012-04-26,300000,3703.44,NORTH
PT001,Auto,Auto insurance policy,11034,Auto Policy 11034,515,5000,Annual,2011-02-10,2016-02-09,2012-05-16,2012-04-16,1000000,2322.5,WEST
PT002,WholeLife,Whole life insurance policy,11035,WholeLife Policy 11035,516,5000,Monthly,2011-01-21,2012-01-21,2011-12-05,2011-11-05,200000,3527.4,SOUTH
PT004,Health,Health insurance policy,11036,Health Policy 11036,516,20000,Monthly,2005-06-15,2006-06-15,2006-05-18,2006-04-18,1000000,12468.21,SOUTH
PT001,Auto,Auto insurance policy,11037,Auto Policy 11037,517,7500,Quarterly,2018-03-12,2020-03-11,2019-03-17,2019-02-15,1000000,6011.34,NORTH
PT004,Health,Health insurance policy,11038,Health Policy 11038,518,5000,Annual,2016-06-29,2021-06-28,2017-01-15,2016-12-16,400000,2606.17,NORTH
PT001,Auto,Auto insurance policy,11039,Auto Policy 11039,518,15000,Annual,2010-12-05,2015-12-04,2011-08-14,2011-07-15,500000,6058.01,NORTH
PT002,WholeLife,Whole life insurance policy,11040,WholeLife Policy 11040,519,10000,Annual,2014-02-11,2019-02-10,2014-09-04,2014-08-05,500000,8353.66,NORTH
PT005,Home,Home insurance policy,11041,Home Policy 11041,520,5000,Quarterly,2010-06-27,2012-06-26,2011-09-02,2011-08-03,500000,2377.76,WEST
PT003,Term,Term life insurance policy,11042,Term Policy 11042,520,5000,Annual,2017-04-05,2022-04-04,2017-09-26,2017-08-27,500000,3022.58,WEST
PT001,Auto,Auto insurance policy,11043,Auto Policy 11043,520,12500,Monthly,2013-11-30,2014-11-30,2014-09-30,2014-08-31,400000,7427.59,WEST
PT003,Term,Term life insurance policy,11044,Term Policy 11044,521,25000,Monthly,2012-06-16,2013-06-16,2012-09-26,2012-08-27,800000,6669.31,WEST
PT002,WholeLife,Whole life insurance policy,11045,WholeLife Policy 11045,521,15000,Quarterly,2009-08-29,2011-08-29,2009-12-09,2009-11-09,300000,4483.97,WEST
PT005,Home,Home insurance policy,11046,Home Policy 11046,521,20000,Annual,2015-08-16,2020-08-14,2016-07-31,2016-07-01,1000000,14648.14,WEST
PT004,Health,Health insurance policy,11047,Health Policy 11047,522,10000,Quarterly,2010-08-27,2012-08-26,2011-04-16,2011-03-17,800000,7840.26,NORTH
PT003,Term,Term life insurance policy,11048,Term Policy 11048,523,15000,Annual,2020-06-15,2025-06-14,2021-11-03,2021-10-04,500000,3058.5,SOUTH
PT002,WholeLife,Whole life insurance policy,11049,WholeLife Policy 11049,524,15000,Quarterly,2017-08-13,2019-08-13,2018-03-21,2018-02-19,500000,13074.49,SOUTH
PT002,WholeLife,Whole life insurance policy,11050,WholeLife Policy 11050,524,20000,Quarterly,2012-03-21,2014-03-21,2013-02-07,2013-01-08,500000,11767.3,SOUTH
PT001,Auto,Auto insurance policy,11051,Auto Policy 11051,524,20000,Quarterly,2007-05-11,2009-05-10,2008-01-18,2007-12-19,200000,5781.95,SOUTH
PT002,WholeLife,Whole life insurance policy,11052,WholeLife Policy 11052,525,5000,Annual,2016-08-30,2021-08-29,2017-02-07,2017-01-08,300000,2531.6,NORTH
