Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Customer_ID,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Region
PT005,Home,Home insurance policy,10801,Term Policy 10801,399,15000,Monthly,2007-09-24,2008-09-23,2008-08-23,2008-07-24,200000,3241.9,SOUTH
PT002,WholeLife,Whole life insurance policy,10802,Home Policy 10802,399,25000,Monthly,2008-06-02,2009-06-02,2008-09-28,2008-08-29,400000,20725.02,SOUTH
PT002,WholeLife,Whole life insurance policy,10803,Auto Policy 10803,399,7500,Monthly,2012-05-07,2013-05-07,2013-07-13,2013-06-13,200000,5130.91,SOUTH
PT002,WholeLife,Whole life insurance policy,10804,Term Policy 10804,400,7500,Quarterly,2011-02-20,2013-02-19,2011-10-16,2011-09-16,200000,5217.44,SOUTH
PT004,Health,Health insurance policy,10805,Term Policy 10805,401,25000,Annual,2015-06-24,2020-06-22,2016-04-02,2016-03-03,500000,13971.49,SOUTH
PT002,WholeLife,Whole life insurance policy,10806,Health Policy 10806,401,7500,Quarterly,2009-05-01,2011-05-01,2010-06-16,2010-05-17,300000,5941.69,SOUTH
PT004,Health,Health insurance policy,10807,Term Policy 10807,401,15000,Monthly,2013-10-24,2014-10-24,2015-01-19,2014-12-20,1000000,9169.58,SOUTH
PT004,Health,Health insurance policy,10808,WholeLife Policy 10808,402,12500,Quarterly,2015-12-11,2017-12-10,2016-12-10,2016-11-10,500000,9036.94,WEST
PT002,WholeLife,Whole life insurance policy,10809,Home Policy 10809,403,12500,Annual,2007-06-01,2012-05-30,2007-11-10,2007-10-11,500000,7462.49,NORTH
PT001,Auto,Auto insurance policy,10810,Term Policy 10810,403,12500,Monthly,2019-03-12,2020-03-11,2020-08-08,2020-07-09,300000,2795.4,NORTH
PT002,WholeLife,Whole life insurance policy,10811,Term Policy 10811,404,10000,Quarterly,2018-03-01,2020-02-29,2019-06-27,2019-05-28,600000,8140.76,NORTH
PT002,WholeLife,Whole life insurance policy,10812,Home Policy 10812,404,5000,Quarterly,2012-11-25,2014-11-25,2013-04-26,2013-03-27,200000,3831.64,NORTH
PT001,Auto,Auto insurance policy,10813,Health Policy 10813,404,7500,Quarterly,2009-03-04,2011-03-04,2009-08-21,2009-07-22,200000,4949.01,NORTH
