Policy_Id,Customer_ID,Premium_Amt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Next_Premium_Dt,Actual_Premium_Paid_Dt,Region
10759,377,5000,300000,1080.3,2016-12-31,2015-11-13,WEST
10760,377,20000,300000,5984.33,2011-05-02,2011-01-20,WEST
10760,377,20000,300000,5984.33,2011-05-02,2011-02-19,WEST
10761,378,25000,800000,20247.56,2007-08-19,2006-11-01,NORTH
10761,378,25000,800000,20247.56,2007-08-19,2006-12-01,NORTH
10761,378,25000,800000,20247.56,2007-08-19,2006-12-31,NORTH
10761,378,25000,800000,20247.56,2007-08-19,2007-01-30,NORTH
10761,378,25000,800000,20247.56,2007-08-19,2007-03-01,NORTH
10762,378,10000,300000,2376.2,2011-02-17,2009-10-20,NORTH
10762,378,10000,300000,2376.2,2011-02-17,2009-11-19,NORTH
10763,379,7500,400000,4028.53,2012-05-30,2011-08-30,WEST
10763,379,7500,400000,4028.53,2012-05-30,2011-09-29,WEST
10763,379,7500,400000,4028.53,2012-05-30,2011-10-29,WEST
10763,379,7500,400000,4028.53,2012-05-30,2011-11-28,WEST
10764,379,20000,500000,16776.37,2021-02-09,2020-06-13,WEST
10764,379,20000,500000,16776.37,2021-02-09,2020-07-13,WEST
10765,380,25000,600000,6361.65,2005-08-31,2005-03-23,NORTH
10765,380,25000,600000,6361.65,2005-08-31,2005-04-22,NORTH
10765,380,25000,600000,6361.65,2005-08-31,2005-05-22,NORTH
10765,380,25000,600000,6361.65,2005-08-31,2005-06-21,NORTH
10765,380,25000,600000,6361.65,2005-08-31,2005-07-21,NORTH
10766,380,10000,800000,8572.78,2020-02-23,2018-10-30,NORTH
10767,380,12500,300000,10062.64,2006-03-08,2005-04-27,NORTH
10767,380,12500,300000,10062.64,2006-03-08,2005-05-27,NORTH
10767,380,12500,300000,10062.64,2006-03-08,2005-06-26,NORTH
10767,380,12500,300000,10062.64,2006-03-08,2005-07-26,NORTH
10768,381,20000,200000,17206.53,2011-09-09,2010-11-23,WEST
10768,381,20000,200000,17206.53,2011-09-09,2010-12-23,WEST
10768,381,20000,200000,17206.53,2011-09-09,2011-01-22,WEST
10769,382,5000,200000,3609.98,2019-10-20,2019-05-02,EAST
10769,382,5000,200000,3609.98,2019-10-20,2019-06-01,EAST
10770,383,25000,300000,11607.24,2021-08-17,2020-08-15,EAST
10770,383,25000,300000,11607.24,2021-08-17,2020-09-14,EAST
10771,384,15000,200000,11544.68,2009-12-20,2009-04-15,WEST
10772,384,15000,1000000,4309.83,2013-02-25,2011-10-10,WEST
10772,384,15000,1000000,4309.83,2013-02-25,2011-11-09,WEST
10773,385,10000,400000,5797.27,2015-08-12,2014-04-15,EAST
10773,385,10000,400000,5797.27,2015-08-12,2014-05-15,EAST
10773,385,10000,400000,5797.27,2015-08-12,2014-06-14,EAST
10773,385,10000,400000,5797.27,2015-08-12,2014-07-14,EAST
10774,385,7500,500000,3458.89,2013-04-19,2012-07-14,EAST
10774,385,7500,500000,3458.89,2013-04-19,2012-08-13,EAST
10774,385,7500,500000,3458.89,2013-04-19,2012-09-12,EAST
10774,385,7500,500000,3458.89,2013-04-19,2012-10-12,EAST
10774,385,7500,500000,3458.89,2013-04-19,2012-11-11,EAST
10775,386,12500,500000,9894.55,2009-03-18,2008-08-25,SOUTH
10775,386,12500,500000,9894.55,2009-03-18,2008-09-24,SOUTH
10775,386,12500,500000,9894.55,2009-03-18,2008-10-24,SOUTH
10776,386,20000,600000,15997.96,2020-08-27,2019-03-23,SOUTH
10776,386,20000,600000,15997.96,2020-08-27,2019-04-22,SOUTH
10777,386,20000,200000,17054.95,2008-05-10,2007-05-01,SOUTH
10777,386,20000,200000,17054.95,2008-05-10,2007-05-31,SOUTH
10777,386,20000,200000,17054.95,2008-05-10,2007-06-30,SOUTH
10777,386,20000,200000,17054.95,2008-05-10,2007-07-30,SOUTH
10777,386,20000,200000,17054.95,2008-05-10,2007-08-29,SOUTH
10778,387,5000,800000,2761.77,2019-10-12,2018-12-29,SOUTH
10778,387,5000,800000,2761.77,2019-10-12,2019-01-28,SOUTH
10778,387,5000,800000,2761.77,2019-10-12,2019-02-27,SOUTH
10778,387,5000,800000,2761.77,2019-10-12,2019-03-29,SOUTH
10778,387,5000,800000,2761.77,2019-10-12,2019-04-28,SOUTH
10779,388,7500,1000000,4395.84,2015-03-27,2014-06-08,EAST
10779,388,7500,1000000,4395.84,2015-03-27,2014-07-08,EAST
10779,388,7500,1000000,4395.84,2015-03-27,2014-08-07,EAST
10780,389,10000,1000000,5247.63,2016-12-22,2015-07-14,SOUTH
10780,389,10000,1000000,5247.63,2016-12-22,2015-08-13,SOUTH
10780,389,10000,1000000,5247.63,2016-12-22,2015-09-12,SOUTH
10780,389,10000,1000000,5247.63,2016-12-22,2015-10-12,SOUTH
10781,390,25000,300000,9963.08,2006-01-17,2005-03-04,EAST
10781,390,25000,300000,9963.08,2006-01-17,2005-04-03,EAST
10781,390,25000,300000,9963.08,2006-01-17,2005-05-03,EAST
10782,390,20000,300000,16602.62,2012-01-25,2011-11-24,EAST
10782,390,20000,300000,16602.62,2012-01-25,2011-12-24,EAST
10783,390,5000,300000,2310.42,2007-01-02,2005-09-25,EAST
10784,391,7500,600000,2769.61,2012-11-20,2012-02-14,SOUTH
10784,391,7500,600000,2769.61,2012-11-20,2012-03-15,SOUTH
