Policy_Id,Customer_ID,Premium_Amt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Next_Premium_Dt,Actual_Premium_Paid_Dt,Region
10527,259,12500,1000000,9140.01,2005-09-22,2005-07-12,SOUTH
10528,260,15000,800000,5701.56,2017-06-16,2017-01-18,WEST
10528,260,15000,800000,5701.56,2017-06-16,2017-02-17,WEST
10528,260,15000,800000,5701.56,2017-06-16,2017-03-19,WEST
10529,260,10000,500000,6242.18,2012-10-23,2011-11-11,WEST
10530,261,12500,300000,10516.15,2008-06-12,2008-01-25,EAST
10530,261,12500,300000,10516.15,2008-06-12,2008-02-24,EAST
10530,261,12500,300000,10516.15,2008-06-12,2008-03-25,EAST
10530,261,12500,300000,10516.15,2008-06-12,2008-04-24,EAST
10530,261,12500,300000,10516.15,2008-06-12,2008-05-24,EAST
10531,262,20000,400000,9663.77,2017-01-30,2016-03-25,NORTH
10531,262,20000,400000,9663.77,2017-01-30,2016-04-24,NORTH
10532,263,12500,400000,11140.82,2014-06-07,2013-05-15,SOUTH
10532,263,12500,400000,11140.82,2014-06-07,2013-06-14,SOUTH
10532,263,12500,400000,11140.82,2014-06-07,2013-07-14,SOUTH
10532,263,12500,400000,11140.82,2014-06-07,2013-08-13,SOUTH
10533,263,5000,500000,1568.27,2015-02-15,2014-03-03,SOUTH
10534,264,20000,500000,13638.85,2013-11-15,2012-10-26,EAST
10535,264,12500,800000,4620.59,2020-02-10,2019-08-08,EAST
10535,264,12500,800000,4620.59,2020-02-10,2019-09-07,EAST
10536,265,20000,200000,13319.46,2020-04-17,2019-02-25,WEST
10536,265,20000,200000,13319.46,2020-04-17,2019-03-27,WEST
10537,266,20000,300000,7463.81,2019-02-06,2018-07-31,SOUTH
10538,267,25000,200000,17453.17,2006-05-06,2005-04-12,EAST
10538,267,25000,200000,17453.17,2006-05-06,2005-05-12,EAST
10539,267,15000,200000,12554.47,2014-10-23,2013-12-02,EAST
10539,267,15000,200000,12554.47,2014-10-23,2014-01-01,EAST
